mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__n_neighbors,param_clf__p,param_clf__weights,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.0016471385955810548,0.001092482971179573,0.004064035415649414,0.0022518050159439943,5,1,distance,2,"{'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'distance', 'pca__n_components': 2}",0.27586206896551724,0.20689655172413793,0.10714285714285714,0.14953271028037382,0.07142857142857142,0.1621725519082915,0.07259207304367686,133,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.001592540740966797,0.0006157397614582947,0.003193235397338867,0.0011391837767822939,5,1,distance,3,"{'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'distance', 'pca__n_components': 3}",0.1509433962264151,0.1941747572815534,0.09803921568627451,0.14953271028037382,0.19607843137254902,0.15775370216943316,0.03598628348300804,142,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0016129970550537109,0.000926197461313096,0.003883552551269531,0.0012606765617244546,5,1,distance,4,"{'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'distance', 'pca__n_components': 4}",0.22641509433962265,0.14,0.18947368421052632,0.16822429906542055,0.14583333333333334,0.17398928218978058,0.0315261677839796,121,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.00196533203125,0.0009072233195989243,0.005294227600097656,0.0006463111880249068,5,1,distance,5,"{'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'distance', 'pca__n_components': 5}",0.3119266055045872,0.27450980392156865,0.08421052631578947,0.18556701030927836,0.26,0.22324278921024474,0.08073865623891657,71,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0020284175872802733,0.0010192045228124096,0.011594247817993165,0.0035073030122756022,5,1,distance,6,"{'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'distance', 'pca__n_components': 6}",0.24242424242424243,0.22,0.06593406593406594,0.19148936170212766,0.2268041237113402,0.18933035875435522,0.06386732625193964,99,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.001537322998046875,0.0003359950739004896,0.010495710372924804,0.0009828458659004089,5,1,distance,8,"{'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'distance', 'pca__n_components': 8}",0.22,0.32653061224489793,0.2549019607843137,0.10989010989010989,0.20202020202020202,0.2226685769879047,0.0706806518526352,72,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0017212390899658202,0.0005965710162697189,0.016720151901245116,0.0034084697193232528,5,1,distance,10,"{'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'distance', 'pca__n_components': 10}",0.37383177570093457,0.40404040404040403,0.37254901960784315,0.29473684210526313,0.34,0.357031608290889,0.03715797661848877,20,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0013243675231933594,6.279248363305998e-05,0.018729257583618163,0.004301558251829112,5,1,distance,12,"{'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'distance', 'pca__n_components': 12}",0.30612244897959184,0.42,0.45714285714285713,0.38,0.3469387755102041,0.38204081632653064,0.0530681314185977,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0016211509704589845,0.0005370319638157314,0.027387094497680665,0.005046007148812425,5,1,distance,15,"{'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'distance', 'pca__n_components': 15}",0.30612244897959184,0.4,0.43137254901960786,0.39603960396039606,0.3469387755102041,0.37609467549396,0.044206531191733824,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0015000343322753907,0.0006287346036845035,0.013305377960205079,0.004453688717912833,5,2,uniform,2,"{'clf__n_neighbors': 5, 'clf__p': 2, 'clf__weights': 'uniform', 'pca__n_components': 2}",0.23529411764705882,0.24242424242424243,0.06666666666666667,0.08602150537634409,0.06060606060606061,0.13820251854407456,0.08264428941976795,175,0.3415841584158416,0.32,0.23097112860892388,0.40380047505938244,0.20385674931129477,0.3000425022790886,0.07336522549546971
0.0018035888671875,0.0005664978242027071,0.016303443908691408,0.006354058301085795,5,2,uniform,3,"{'clf__n_neighbors': 5, 'clf__p': 2, 'clf__weights': 'uniform', 'pca__n_components': 3}",0.2222222222222222,0.10416666666666667,0.11363636363636363,0.1568627450980392,0.2,0.15937759952465833,0.04636045358450146,140,0.3737864077669903,0.3112244897959184,0.28860759493670884,0.48123620309050774,0.32935560859188545,0.35684206083640213,0.06819592905926113
0.00158233642578125,0.0007366494641745993,0.014893341064453124,0.0024371188737867004,5,2,uniform,4,"{'clf__n_neighbors': 5, 'clf__p': 2, 'clf__weights': 'uniform', 'pca__n_components': 4}",0.23300970873786409,0.12121212121212122,0.13333333333333333,0.19607843137254902,0.14736842105263157,0.16620040314169984,0.04198812504356764,130,0.45454545454545453,0.33415233415233414,0.25906735751295334,0.46788990825688076,0.31265508684863524,0.3656620282632516,0.08187285680751136
0.0014712810516357422,0.000534831724954958,0.013225221633911132,0.005900711555929944,5,2,uniform,5,"{'clf__n_neighbors': 5, 'clf__p': 2, 'clf__weights': 'uniform', 'pca__n_components': 5}",0.2222222222222222,0.23529411764705882,0.08791208791208792,0.19148936170212766,0.25,0.1973835578966993,0.058036891810370674,89,0.4510250569476082,0.4009546539379475,0.3701923076923077,0.4272300469483568,0.41904761904761906,0.41368993691476785,0.027056170112930895
