mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__n_neighbors,param_clf__p,param_clf__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.0028961658477783202,0.0007467590309323327,0.013970899581909179,0.002619411355817061,11,2,uniform,"{'clf__n_neighbors': 11, 'clf__p': 2, 'clf__weights': 'uniform'}",0.3177570093457944,0.43636363636363634,0.24561403508771928,0.3609022556390977,0.3793103448275862,0.3479894562527668,0.06380041044394628,4,0.4430379746835443,0.38839285714285715,0.42701525054466233,0.45081967213114754,0.4322033898305085,0.428293828866544,0.021604677385256413
0.004497814178466797,0.0007448180292676221,0.004839324951171875,0.0011671788842716451,11,2,distance,"{'clf__n_neighbors': 11, 'clf__p': 2, 'clf__weights': 'distance'}",0.3546099290780142,0.4,0.29850746268656714,0.31654676258992803,0.27692307692307694,0.32931744625551723,0.04357349762807132,22,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0035153865814208985,0.0011363920848364462,0.01726698875427246,0.008655103588364367,15,1,uniform,"{'clf__n_neighbors': 15, 'clf__p': 1, 'clf__weights': 'uniform'}",0.3119266055045872,0.4,0.25225225225225223,0.3816793893129771,0.39316239316239315,0.34780412804644195,0.057178094023370034,5,0.4393305439330544,0.378021978021978,0.40176600441501104,0.430062630480167,0.4164859002169197,0.4131334114134261,0.021661754722588522
0.0032083988189697266,0.0007499039720551086,0.0059130191802978516,0.002651628103530572,15,1,distance,"{'clf__n_neighbors': 15, 'clf__p': 1, 'clf__weights': 'distance'}",0.34074074074074073,0.40336134453781514,0.31343283582089554,0.35036496350364965,0.28125,0.3378299769206202,0.040636123975130764,16,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.004153108596801758,0.0018615748220273739,0.014601182937622071,0.0033883951007424792,15,2,uniform,"{'clf__n_neighbors': 15, 'clf__p': 2, 'clf__weights': 'uniform'}",0.32727272727272727,0.4,0.25225225225225223,0.3816793893129771,0.39316239316239315,0.35087335240006995,0.055558821593068006,2,0.4384133611691023,0.3815789473684211,0.4052863436123348,0.43333333333333335,0.4199134199134199,0.41570508107932225,0.020578019683000773
0.0036638259887695314,0.0011254182114492704,0.004646587371826172,0.000821189032332815,15,2,distance,"{'clf__n_neighbors': 15, 'clf__p': 2, 'clf__weights': 'distance'}",0.35294117647058826,0.40336134453781514,0.31343283582089554,0.35036496350364965,0.28125,0.3402700640665897,0.04110128596049955,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.004813146591186523,0.0008857485471555835,0.015729141235351563,0.00323731264747476,21,1,uniform,"{'clf__n_neighbors': 21, 'clf__p': 1, 'clf__weights': 'uniform'}",0.25,0.4,0.23853211009174313,0.35658914728682173,0.3652173913043478,0.32206772973658254,0.06526717050758883,26,0.4155844155844156,0.32558139534883723,0.39198218262806234,0.42348008385744235,0.3574660633484163,0.38281882815343476,0.03668725908996478
0.005006122589111328,0.0014545815195018581,0.005660057067871094,0.0011112192100219513,21,1,distance,"{'clf__n_neighbors': 21, 'clf__p': 1, 'clf__weights': 'distance'}",0.3609022556390977,0.3793103448275862,0.3283582089552239,0.34532374100719426,0.304,0.3435789100858204,0.025992452871154353,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.005157566070556641,0.001957210552003953,0.014138889312744141,0.000729143272521592,21,2,uniform,"{'clf__n_neighbors': 21, 'clf__p': 2, 'clf__weights': 'uniform'}",0.26666666666666666,0.4,0.23853211009174313,0.35658914728682173,0.3652173913043478,0.3254010630699159,0.06183685356592702,25,0.4155844155844156,0.3294663573085847,0.3946784922394678,0.42348008385744235,0.3611738148984199,0.38487663277766604,0.03510382603665957
0.004509353637695312,0.00130580623931535,0.007044792175292969,0.001559355328784071,21,2,distance,"{'clf__n_neighbors': 21, 'clf__p': 2, 'clf__weights': 'distance'}",0.373134328358209,0.3793103448275862,0.3283582089552239,0.34532374100719426,0.304,0.3460253246296427,0.02800549145718519,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
