threshold,precision,recall,f1
0.84,0.5474452554744526,0.19329896907216496,0.2857142857142857
0.845,0.5390625,0.17783505154639176,0.26744186046511625
0.85,0.5454545454545454,0.17010309278350516,0.2593320235756385
0.855,0.5779816513761468,0.16237113402061856,0.2535211267605634
0.86,0.580952380952381,0.15721649484536082,0.24746450304259635
0.865,0.5841584158415841,0.15206185567010308,0.24130879345603273
0.87,0.5816326530612245,0.14690721649484537,0.2345679012345679
0.875,0.5934065934065934,0.13917525773195877,0.2254697286012526
0.88,0.6190476190476191,0.13402061855670103,0.22033898305084745
0.885,0.6233766233766234,0.12371134020618557,0.2064516129032258
0.89,0.6619718309859155,0.1211340206185567,0.2047930283224401
0.895,0.6451612903225806,0.10309278350515463,0.17777777777777778
0.9,0.631578947368421,0.09278350515463918,0.16179775280898875
0.905,0.6595744680851063,0.07989690721649484,0.1425287356321839
0.91,0.7142857142857143,0.07731958762886598,0.13953488372093023
0.915,0.7105263157894737,0.06958762886597938,0.1267605633802817
0.92,0.7058823529411765,0.061855670103092786,0.11374407582938388
0.925,0.6666666666666666,0.04639175257731959,0.08674698795180723
0.93,0.64,0.041237113402061855,0.0774818401937046
0.935,0.7,0.03608247422680412,0.06862745098039216
0.9400000000000001,0.7058823529411765,0.030927835051546393,0.05925925925925926
0.9450000000000001,0.75,0.030927835051546393,0.0594059405940594
0.9500000000000001,0.8,0.030927835051546393,0.05955334987593052
0.9550000000000001,0.875,0.01804123711340206,0.03535353535353535
0.96,0.8571428571428571,0.015463917525773196,0.030379746835443037
0.965,0.8571428571428571,0.015463917525773196,0.030379746835443037
0.97,0.8,0.010309278350515464,0.020356234096692113
0.975,1.0,0.010309278350515464,0.02040816326530612
0.98,1.0,0.007731958762886598,0.015345268542199489
0.985,1.0,0.005154639175257732,0.010256410256410256
0.99,1.0,0.005154639175257732,0.010256410256410256
0.995,1.0,0.002577319587628866,0.005141388174807198
1.0,0.0,0.0,0.0
