mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_penalty,param_class_weight,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.15810847282409668,0.02531610893117466,0.0051727294921875,0.0019217537683530268,l1,balanced,100.0,"{'penalty': 'l1', 'class_weight': 'balanced', 'C': 100.0}",0.31808278867102396,0.3228511530398323,0.3105022831050228,0.32407407407407407,0.3087557603686636,0.3168532118517233,0.006253495428173287,12,0.33590308370044053,0.3281501340482574,0.35294117647058826,0.35246842709529275,0.35246376811594204,0.3443853178861042,0.01038585788224015
0.016519546508789062,0.012651761686090926,0.00449666976928711,0.0007808698551435092,l2,balanced,0.001,"{'penalty': 'l2', 'class_weight': 'balanced', 'C': 0.001}",0.2591362126245847,0.25496688741721857,0.2545454545454545,0.25742574257425743,0.2591362126245847,0.25704210195722,0.0019726906895451554,18,0.25683512841756423,0.2571310458867301,0.2590587255310287,0.25715470759021153,0.25683512841756423,0.2574029471686198,0.0008392843914792815
0.10069236755371094,0.0168296520730758,0.004439687728881836,0.0011941376087586618,l1,balanced,2.0,"{'penalty': 'l1', 'class_weight': 'balanced', 'C': 2.0}",0.31263383297644537,0.31752577319587627,0.3056179775280899,0.3264367816091954,0.3076923076923077,0.3139813346003829,0.007470134761063438,13,0.3304442036836403,0.3246959280803807,0.3473325766174801,0.34851936218678814,0.3448667044809983,0.3391717550098575,0.009717293205089711
0.05772576332092285,0.012024798594165175,0.004230308532714844,0.0004080483490321997,l1,balanced,1.0,"{'penalty': 'l1', 'class_weight': 'balanced', 'C': 1.0}",0.31063829787234043,0.3149284253578732,0.30701754385964913,0.3219954648526077,0.30357142857142855,0.31163023210277985,0.00641125992935556,14,0.3285024154589372,0.31974921630094044,0.34212002243409984,0.341545352743561,0.3389261744966443,0.3341686362868366,0.008721242897245336
0.010977029800415039,0.0010056658228450677,0.00551309585571289,0.0019963054553827973,l1,,0.01,"{'penalty': 'l1', 'class_weight': None, 'C': 0.01}",0.44106463878326996,0.4806201550387597,0.3828125,0.4140625,0.4591439688715953,0.435540752538725,0.0342384626353576,9,0.44379276637341153,0.4422890397672163,0.443359375,0.44011684518013633,0.4375,0.44141160526415285,0.00233283886700325
0.014292192459106446,0.0007508570845732375,0.004252195358276367,0.0003941568657854492,l2,,0.1,"{'penalty': 'l2', 'class_weight': None, 'C': 0.1}",0.48333333333333334,0.5370370370370371,0.43548387096774194,0.4715447154471545,0.49122807017543857,0.4837254053921411,0.0327847178397109,2,0.5016077170418006,0.494824016563147,0.513255567338282,0.506951871657754,0.5090137857900318,0.5051305916782031,0.00637256028699659
0.015802907943725585,0.002265807698974445,0.0037625312805175783,0.000747020470105381,l1,balanced,0.005,"{'penalty': 'l1', 'class_weight': 'balanced', 'C': 0.005}",0.2549019607843137,0.25245901639344265,0.25287356321839083,0.2553191489361702,0.2553191489361702,0.2541745676536975,0.001247795019872331,19,0.2538902538902539,0.25450081833060556,0.2546049938600082,0.2537863282848956,0.2537863282848956,0.25411374453013175,0.0003620781386715742
0.009298372268676757,0.0014392890839762741,0.004665184020996094,0.0005462570271479816,l1,,0.005,"{'penalty': 'l1', 'class_weight': None, 'C': 0.005}",0.34890965732087226,0.3878787878787879,0.32398753894080995,0.3333333333333333,0.3768996960486322,0.3542018027044871,0.024599736763345318,10,0.361005331302361,0.35276305828917487,0.3683409436834094,0.363499245852187,0.3495873968492123,0.35903919519526895,0.00691385065544614
0.017579126358032226,0.001362268560584357,0.004357814788818359,0.0009974095517412864,l2,,10.0,"{'penalty': 'l2', 'class_weight': None, 'C': 10.0}",0.48559670781893005,0.502283105022831,0.4365079365079365,0.4489795918367347,0.4329004329004329,0.46125355481737307,0.027723305731181064,7,0.5026399155227033,0.5030800821355236,0.5233050847457628,0.5105042016806722,0.5130890052356021,0.5105236578640527,0.0075829607903960755
0.016301918029785156,0.0009371211702852641,0.0045662403106689455,0.000529007222242569,l2,balanced,0.5,"{'penalty': 'l2', 'class_weight': 'balanced', 'C': 0.5}",0.3029045643153527,0.31048387096774194,0.3050847457627119,0.3230088495575221,0.2924731182795699,0.3067910297765797,0.00999673309700493,15,0.32189973614775724,0.31627906976744186,0.33738938053097345,0.3358946212952799,0.3313351498637602,0.3285595915210425,0.008180910071580201
