mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_leaf,param_max_iter,param_max_depth,param_learning_rate,param_l2_regularization,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
2.6938939094543457,0.1857105635876408,0.05810866355895996,0.01826455610822363,10,200,5.0,0.03,0.1,"{'min_samples_leaf': 10, 'max_iter': 200, 'max_depth': 5, 'learning_rate': 0.03, 'l2_regularization': 0.1}",0.7721518987341772,0.8590604026845637,0.7948717948717948,0.8258064516129032,0.8024691358024691,0.8108719367411815,0.029566944147646265,17,0.9081967213114754,0.9102773246329527,0.9114754098360656,0.9004893964110929,0.9029126213592233,0.9066702947101619,0.004260361186615091
31.50199599266052,1.158948169526537,0.1987436294555664,0.044000700342146794,20,800,,0.05,0.0,"{'min_samples_leaf': 20, 'max_iter': 800, 'max_depth': None, 'learning_rate': 0.05, 'l2_regularization': 0.0}",0.7919463087248322,0.8368794326241135,0.8493150684931506,0.8450704225352113,0.8428571428571429,0.8332136750468899,0.021020309726996714,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4.13079800605774,0.752563789132277,0.04600830078125,0.006219331081486257,20,200,7.0,0.05,0.1,"{'min_samples_leaf': 20, 'max_iter': 200, 'max_depth': 7, 'learning_rate': 0.05, 'l2_regularization': 0.1}",0.782051282051282,0.8513513513513513,0.8,0.8133333333333334,0.8235294117647058,0.8140530757001345,0.023251168031799434,15,0.992,0.9967948717948718,1.0,0.9951845906902087,0.992,0.995195892497016,0.00303525185548093
6.064213466644287,1.9046362254002207,0.03230185508728027,0.004140881186768213,20,200,5.0,0.05,1.0,"{'min_samples_leaf': 20, 'max_iter': 200, 'max_depth': 5, 'learning_rate': 0.05, 'l2_regularization': 1.0}",0.7672955974842768,0.8533333333333334,0.8074534161490683,0.8079470198675497,0.7831325301204819,0.803832379390942,0.02913350925164073,21,0.932475884244373,0.9400630914826499,0.9394904458598726,0.9312,0.9371069182389937,0.9360672679651778,0.0036153550212465525
4.471753740310669,1.2986001493681563,0.06712508201599121,0.018239297660279756,10,400,3.0,0.05,0.0,"{'min_samples_leaf': 10, 'max_iter': 400, 'max_depth': 3, 'learning_rate': 0.05, 'l2_regularization': 0.0}",0.7272727272727273,0.8152866242038217,0.8148148148148148,0.7228915662650602,0.7730061349693251,0.7706543735051499,0.04027645998934577,25,0.8977635782747604,0.9025157232704403,0.8926905132192846,0.8940809968847352,0.8930817610062893,0.8960265145311019,0.00370709421242313
5.421927165985108,0.6382800635323386,0.04054880142211914,0.007596798767847813,50,200,,0.03,0.1,"{'min_samples_leaf': 50, 'max_iter': 200, 'max_depth': None, 'learning_rate': 0.03, 'l2_regularization': 0.1}",0.7126436781609196,0.8235294117647058,0.7314285714285714,0.7441860465116279,0.7904191616766467,0.7604413739084943,0.04066784079666692,26,0.9267563527653214,0.9187592319054653,0.933933933933934,0.9323308270676691,0.9267563527653214,0.9277073396875422,0.005329624688390877
15.031169557571411,2.657221913794479,0.4947355270385742,0.8041108304576652,20,400,7.0,0.1,1.0,"{'min_samples_leaf': 20, 'max_iter': 400, 'max_depth': 7, 'learning_rate': 0.1, 'l2_regularization': 1.0}",0.8079470198675497,0.8391608391608392,0.8,0.851063829787234,0.8472222222222222,0.8290787822075689,0.0210061969871975,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.9031607627868652,0.44374736394623715,0.03552331924438477,0.011079668245546088,10,200,3.0,0.1,0.0,"{'min_samples_leaf': 10, 'max_iter': 200, 'max_depth': 3, 'learning_rate': 0.1, 'l2_regularization': 0.0}",0.7361963190184049,0.810126582278481,0.788235294117647,0.75,0.7926829268292683,0.7754482244487603,0.027754123391438075,24,0.9113924050632911,0.9157392686804452,0.8998459167950693,0.8902627511591963,0.8878504672897196,0.9010181617975445,0.011088526558487369
5.578506803512573,2.2513652930431967,0.37193121910095217,0.45370667290778854,10,200,5.0,0.03,0.0,"{'min_samples_leaf': 10, 'max_iter': 200, 'max_depth': 5, 'learning_rate': 0.03, 'l2_regularization': 0.0}",0.7721518987341772,0.8590604026845637,0.8076923076923077,0.8235294117647058,0.8024691358024691,0.8129806313356447,0.02842557090808198,16,0.9111842105263158,0.9135399673735726,0.9150326797385621,0.909688013136289,0.9046849757673667,0.9108259693084213,0.0035832186880475608
9.02200403213501,2.5690881306327187,0.1528904914855957,0.21093788267915023,20,200,,0.2,0.1,"{'min_samples_leaf': 20, 'max_iter': 200, 'max_depth': None, 'learning_rate': 0.2, 'l2_regularization': 0.1}",0.8053691275167785,0.8450704225352113,0.8187919463087249,0.8450704225352113,0.8611111111111112,0.8350826060014075,0.02012596548417503,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
