mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
3.4830036640167235,0.36162525995798284,0.050649070739746095,0.014884216166928014,1.0,400,10,0.01,0.0,1.0,"{'subsample': 1.0, 'n_estimators': 400, 'max_depth': 10, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 1.0}",0.7843137254901961,0.8551724137931035,0.8243243243243243,0.8413793103448276,0.84,0.8290379547904904,0.02440475543057148,9,0.9904153354632588,0.9952,0.9936102236421726,0.9967845659163987,0.9951845906902087,0.9942389431424077,0.002159321132655893
0.3211804389953613,0.05886774332400325,0.014701557159423829,0.007248929108506993,0.8,200,3,0.01,0.0,1.0,"{'subsample': 0.8, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 1.0}",0.5979381443298969,0.6808510638297872,0.6103286384976526,0.6103286384976526,0.6602870813397129,0.6319467132989405,0.03251484904187843,28,0.6709021601016518,0.655940594059406,0.6633165829145728,0.655980271270037,0.6390243902439025,0.657032799717914,0.010568336007473879
1.7025907039642334,0.2017739529833245,0.03464322090148926,0.007316257823380539,0.8,400,6,0.01,0.1,1.0,"{'subsample': 0.8, 'n_estimators': 400, 'max_depth': 6, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 1.0}",0.7484662576687117,0.8493150684931506,0.8125,0.8322147651006712,0.7975460122699386,0.8080084207064944,0.03454588749579732,18,0.9243156199677939,0.9387096774193548,0.926829268292683,0.9223300970873787,0.9123376623376623,0.9249044650209746,0.008475699327308133
2.8595979690551756,0.2438924122591544,0.04004054069519043,0.004738461911646974,0.8,400,10,0.01,0.2,0.8,"{'subsample': 0.8, 'n_estimators': 400, 'max_depth': 10, 'learning_rate': 0.01, 'gamma': 0.2, 'colsample_bytree': 0.8}",0.7612903225806451,0.8611111111111112,0.8104575163398693,0.8243243243243243,0.8333333333333334,0.8181033215378566,0.032883124202467834,16,0.9904153354632588,0.9936102236421726,0.9857369255150554,0.9872611464968153,0.9872611464968153,0.9888569555228234,0.002823115512958083
0.42749786376953125,0.047511267868735836,0.017452478408813477,0.0046436114601853705,0.8,100,6,0.1,0.0,1.0,"{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 1.0}",0.7870967741935484,0.8435374149659864,0.8235294117647058,0.863013698630137,0.8387096774193549,0.8311773953947463,0.025395465654656908,7,0.998389694041868,0.9983948635634029,1.0,1.0,0.9872611464968153,0.9968091408204172,0.00482783647848289
0.8209345817565918,0.09596306468038185,0.013391685485839844,0.0012127868295078838,0.8,200,10,0.1,0.2,1.0,"{'subsample': 0.8, 'n_estimators': 200, 'max_depth': 10, 'learning_rate': 0.1, 'gamma': 0.2, 'colsample_bytree': 1.0}",0.7948717948717948,0.8450704225352113,0.8235294117647058,0.8513513513513513,0.84,0.8309645961046128,0.02026921270959221,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.6012199878692627,0.06348894397412123,0.01630368232727051,0.002164247929505703,0.8,200,6,0.1,0.2,1.0,"{'subsample': 0.8, 'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.1, 'gamma': 0.2, 'colsample_bytree': 1.0}",0.7870967741935484,0.8333333333333334,0.8187919463087249,0.8707482993197279,0.8516129032258064,0.8323166512762281,0.028559150830782594,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.7177996158599853,0.06197312340420246,0.01303863525390625,0.0014713965319481386,0.8,200,6,0.01,0.2,0.8,"{'subsample': 0.8, 'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.01, 'gamma': 0.2, 'colsample_bytree': 0.8}",0.6871165644171779,0.84,0.782608695652174,0.8152866242038217,0.7951807228915663,0.7840385214329479,0.052207642768208336,22,0.8778135048231511,0.8705501618122977,0.8764044943820225,0.8784440842787682,0.861244019138756,0.8728912528869991,0.006458237031837428
0.3672072410583496,0.0471110898400102,0.01208648681640625,0.0026008681795919425,1.0,100,6,0.1,0.0,0.8,"{'subsample': 1.0, 'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 0.8}",0.7643312101910829,0.8333333333333334,0.8211920529801324,0.8322147651006712,0.8552631578947368,0.8212669038999915,0.0305381023987715,13,0.9935483870967742,1.0,0.9983948635634029,0.9919743178170144,0.9951845906902087,0.99582043183348,0.0029817968764938884
0.5030386447906494,0.05730283605027199,0.04180288314819336,0.03311254690808007,1.0,400,3,0.01,0.0,0.8,"{'subsample': 1.0, 'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 0.8}",0.6387434554973822,0.7950310559006211,0.65,0.6310679611650486,0.7263157894736842,0.6882316524073472,0.06330077812830928,26,0.723055934515689,0.7433380084151473,0.7050938337801609,0.6932989690721649,0.7394957983193278,0.7208565088204979,0.019316098632189124
