eps,min_samples,n_clusters,noise_ratio,silhouette
2.639975779833558,10.0,1.0,0.024756189047261814,
2.669818585766301,10.0,1.0,0.02288072018004501,
2.8104398983969427,10.0,1.0,0.015003750937734433,
2.909200318624105,10.0,1.0,0.010502625656414103,
3.0140601212336358,10.0,1.0,0.007501875468867217,
3.0751836037258125,10.0,1.0,0.00450112528132033,
3.1058538586277153,10.0,1.0,0.00450112528132033,
3.1271821784260148,10.0,1.0,0.00450112528132033,
3.2037823029195613,10.0,1.0,0.0037509377344336083,
3.372527878076331,10.0,1.0,0.002250562640660165,
3.491040382348926,10.0,1.0,0.0015003750937734434,
3.5459530838042777,10.0,1.0,0.0015003750937734434,
3.679037856971782,10.0,1.0,0.0011252813203300824,
3.727024630353258,10.0,1.0,0.0011252813203300824,
3.7341515188099152,10.0,1.0,0.0011252813203300824,
4.004727878649452,10.0,1.0,0.0007501875468867217,
4.215659847595414,10.0,1.0,0.00037509377344336085,
4.255143700565133,10.0,1.0,0.00037509377344336085,
4.363800477936158,10.0,1.0,0.00037509377344336085,
4.393119433894018,10.0,1.0,0.00037509377344336085,
4.414845428366139,10.0,1.0,0.00037509377344336085,
4.6587807879415735,10.0,1.0,0.0,
5.2717433206728215,10.0,1.0,0.0,
5.318929625706416,10.0,1.0,0.0,
5.339637171532602,10.0,1.0,0.0,
5.518556785457673,10.0,1.0,0.0,
5.6208797967938855,10.0,1.0,0.0,
5.81840063724821,10.0,1.0,0.0,
6.211707717255431,10.0,1.0,0.0,
6.589679150841027,10.0,1.0,0.0,
7.091906167608555,10.0,1.0,0.0,
7.358075713943564,10.0,1.0,0.0,
8.786238867788036,10.0,1.0,0.0,
